Category,Question,L1,L2,L3,L4
Investment,Who builds your platform?,Short-lived groups or champions teaming up ad-hoc.,A dedicated platform team with technical generalists.,A dedicated platform team with product and UI/UX skills.,"A dedicated platform team with product, UI/UX, and other specialized roles."
Investment,Where do new platform capability needs come from?,Urgent needs.,Fixing issues.,A roadmap of features.,Planned features and community contributions.
Investment,How do you validate new capabilities with platform users?,They aren't involved.,We ask for their feedback informally.,They help define new capabilities.,"They are involved in definition, testing, and releasing new capabilities."
Investment,How is your platform initiative funded?,It has no direct investment.,A dedicated team has been formed.,A dedicated team with expected outcomes.,A dedicated team with expected outcomes and an investment in community building.
Adoption,How do platform users discover its capabilities?,They find them by chance.,There are places to look but they are inconsistent.,There's a single place to find capabilities and users often start there.,There's a single place to find capabilities and users notify the platform team when they need something that isn't listed.
Adoption,How do platform users select tools?,They usually create their own.,They consider the platform but often choose not to use it.,The platform is compared with other options to find the best fit.,The platform is preferred over other options.
Adoption,How does your organization support platform adoption?,,,,
Adoption (ORIGINAL),"In what ways does your wider group, division, or organisation support platform adoption?",There is either little or no guidance on selecting platform capabilties outside of localised advice,"Despite less adoption than desired, there are mechanisms in place that make platform value and expectations of use widely understood","Not only is platform adoption understood as a goal for the system, it is internalised by individuals within the system which creates a positive reinforcing cycle",The value of platform adoption is commonly understood both at the group and individual level and that extends beyond platform use to deeper platform engagement
Adoption,How does the platform team encourage adoption?,The capabilities are good and users should see the value in them.,The platform team engages with leaders of their end users.,"When new capabilities are created, there is a plan to encourage adoption.",Engaging the community of users and potential users is as important as delivering new capabilities.
Interfaces,How do users access the platform's capabilities?,They raise a request and the platform team gets them what they need.,They can self-serve capabilities by accessing tools and components included in the platform.,"They can self-serve from a central location using one-click or push-button operations, commands, templates.",They can self-serve from a central location and customize the result.
Interfaces,Does the platform team consider developer experience or productivity?,No,,,Yes
Interfaces,How are capabilities offered to end users?,Stand alone tools or components.,The platform team can introduce an approved solution that platform users can't customize.,Platform users can self-serve an approved solution.,Platform users can compose self-service solutions and customize them.
Interfaces,How is onboarding supported?,Users need deep support for onboarding from the platform team.,Users can self-serve but often require assistance.,Users can self-serve with almost no assistance.,Capabilities are integrated with existing user tools and require no assistance.
Operations,How do users find out about platform updates?,No announcements are made.,There is a standard location for sharing updates.,There is a standard location for sharing updates and roadmaps.,A standard locations for updates and roadmaps is extended through automated notifications.
Operations,How do platform users contribute to new platform features?,,,,
Operations (ORIGINAL),How do consumers of the platform request functionality or make feature requests or contribute capabilities to the platform?,Each request is individually assessed and planned by one or more platform teams to meet the pressing needs of invididual teams,Application teams create the capabilities themselves as required to meet their pressing needs,Application teams request the capabilities to be delivered from one or more centralised platform teams,We have a well defined shared ownership and delivery model in place with clear responsibilities and expectations either at or working towards an X-as-a-Service federated model.
Operations,,,,,
Operations (ORIGINAL),"What is the approach to delivery and support of functionality/capabilities by the platform engineering teams, including day2 updates & maintenance.","The teams involved in the delivery of the capability have an informal approach to supporting others using the capability, typically with a reactive approach to updates based on events such as security incidents, bugs, new requirements.",Processes for planning and managing the lifecycle of capabilities is at least centrally defined or tracked but not applied by a central team. Lifecycle management processes vary for different capabilities depending on their owners and their priorities,"Processes for planning and managing the platforms and capabilities are centrally managed and orchestrated. Standard processes and shared responsibility model in place, possibly with agreed maintenance windows.","Platforms and capabilities are managed/engineered in a standarised way, potentially working towards a fully automated ""fleet managed"" approach without business impact or scheduled maintenance windows, with visibility and control of updates. A clear “shared responsibility model” is in place enabling providers and consumers of capabilities to operate mostly autonomously"
Operations,How is the platform's evolution managed?,No formal process or long-term plan.,Platform teams consolidate requests and decide how to prioritize them.,Platform teams uses a defined process to evaluate requests against the organization's goals for the platform.,The platform is a product and requests are managed using the economics of software products.
Measurement,Have you agreed how platform success will be measured?,It isn't certain what success looks like.,Different opinions on success exist but aren't aligned.,The organization has broad alignment on platform success.,"Metrics and telemetry are used to obtain insights and make improvements, not used as arbitrary goals or performance measures."
Measurement,How do you measure the business outcomes of platforms?,We don't report against business objectives.,We measure feature success using proxy metrics like adoption or time saved.,No platform feature is added until it's understood how success will be evaluated.,Platform teams seek to continuously improve metrics and refine data collection.
Measurement,How is user feedback collected and used?,Users don't participate and don't feel heard.,Informal mechanisms exist for user-feedback.,A product manager or dedicated team member drives feedback collection and analysis.,Users contribute to the platform.
Measurement,How do you collect user satisfaction with the platform?,We don't collect user satisfaction in a structured way.,We use surveys or monitor user forums to collect and categorize feedback to understand user sentiment.,We actively seek to gather and understand user satisfaction in a structured way.,User satisfaction is embedded in our culture.
